class_id,sample_count,group,intra_variance,estimated_k,best_silhouette,bootstrap_k_std,bootstrap_mode_fraction
0,500,many,0.16811349987983704,2,0.13047140836715698,0.0,1.0
1,477,many,0.20301978290081024,2,0.09205269813537598,0.0,1.0
2,455,many,0.2277357429265976,2,0.09141768515110016,0.0,1.0
3,434,many,0.25282052159309387,2,0.14517468214035034,0.0,1.0
4,415,many,0.22394907474517822,2,0.07129619270563126,0.0,1.0
5,396,many,0.19927991926670074,2,0.09443501383066177,0.0,1.0
6,378,many,0.22585022449493408,2,0.10130007565021515,0.8944271909999159,0.6
7,361,many,0.2583560347557068,3,0.12759196758270264,0.0,1.0
8,344,many,0.23018886148929596,2,0.14318865537643433,0.0,1.0
9,328,many,0.22322683036327362,2,0.13029898703098297,0.0,1.0
10,314,many,0.23252186179161072,2,0.07889781892299652,2.1908902300206647,0.6
11,299,many,0.2289317399263382,2,0.08142001926898956,0.0,1.0
12,286,many,0.22209441661834717,2,0.1337788701057434,0.0,1.0
13,273,many,0.17623253166675568,2,0.11196379363536835,0.0,1.0
14,260,many,0.24770645797252655,2,0.1369728446006775,0.0,1.0
15,248,many,0.23773814737796783,2,0.08296077698469162,0.0,1.0
16,237,many,0.21680156886577606,2,0.10459373891353607,1.3416407864998738,0.8
17,226,many,0.166412353515625,2,0.09848704189062119,0.0,1.0
18,216,many,0.27542731165885925,2,0.13807715475559235,0.0,1.0
19,206,many,0.23477521538734436,2,0.08496743440628052,0.0,1.0
20,197,many,0.18743887543678284,2,0.11638712882995605,0.0,1.0
21,188,many,0.19784508645534515,2,0.1304170936346054,0.0,1.0
22,179,many,0.22749324142932892,2,0.10926831513643265,0.0,1.0
23,171,many,0.17787784337997437,2,0.10286618769168854,0.0,1.0
24,163,many,0.2007201462984085,2,0.1406172215938568,0.0,1.0
25,156,many,0.25385838747024536,2,0.08968394994735718,0.8944271909999161,0.8
26,149,many,0.2646414637565613,2,0.10990530997514725,0.0,1.0
27,142,many,0.22570647299289703,2,0.08894072473049164,0.0,1.0
28,135,many,0.19554229080677032,4,0.09868436306715012,0.0,1.0
29,129,many,0.2450440227985382,2,0.12181224673986435,0.0,1.0
30,123,many,0.1783270537853241,2,0.09454872459173203,0.0,1.0
31,118,many,0.20096878707408905,2,0.14562852680683136,0.0,1.0
32,112,many,0.2832863926887512,2,0.15764912962913513,0.0,1.0
33,107,medium,0.2238144874572754,2,0.14805185794830322,0.0,1.0
34,102,medium,0.21181853115558624,2,0.07902932912111282,1.3416407864998738,0.8
35,98,medium,0.214042529463768,2,0.0818270668387413,0.4472135954999579,0.8
36,93,medium,0.2124931812286377,2,0.10346364229917526,0.0,1.0
37,89,medium,0.19889327883720398,2,0.09577547758817673,0.0,1.0
38,85,medium,0.22744089365005493,4,0.0840030387043953,1.4142135623730951,0.6
39,81,medium,0.25849735736846924,4,0.14089493453502655,0.7071067811865476,0.6
40,77,medium,0.23727580904960632,2,0.13148850202560425,0.0,1.0
41,74,medium,0.2112264484167099,2,0.2878778874874115,0.0,1.0
42,70,medium,0.21184107661247253,2,0.08059347420930862,0.0,1.0
43,67,medium,0.1865215003490448,6,0.08857887983322144,0.4472135954999579,0.8
44,64,medium,0.2546570301055908,2,0.10782882571220398,0.0,1.0
45,61,medium,0.2492419332265854,3,0.12347154319286346,0.0,1.0
46,58,medium,0.24128574132919312,2,0.12218692153692245,0.4472135954999579,0.8
47,56,medium,0.2043996900320053,2,0.24463538825511932,0.0,1.0
48,53,medium,0.1609591692686081,2,0.12784187495708466,0.0,1.0
49,51,medium,0.18477842211723328,2,0.14799076318740845,2.16794833886788,0.6
50,48,medium,0.25254619121551514,2,0.09724510461091995,0.0,1.0
51,46,medium,0.27081388235092163,2,0.10155154019594193,0.0,1.0
52,44,medium,0.11229264736175537,2,0.15978361666202545,0.0,1.0
53,42,medium,0.16500000655651093,2,0.15891216695308685,0.0,1.0
54,40,medium,0.21547798812389374,2,0.1710481345653534,0.0,1.0
55,38,medium,0.25857287645339966,2,0.14363941550254822,0.0,1.0
56,36,medium,0.20094168186187744,2,0.14939017593860626,2.6832815729997477,0.8
57,35,medium,0.22622527182102203,8,0.09913380444049835,1.1401754250991378,0.4
58,33,medium,0.1954609602689743,5,0.1005232185125351,1.3038404810405297,0.6
59,32,medium,0.1850515753030777,2,0.15818482637405396,0.0,1.0
60,30,medium,0.12350556254386902,2,0.17002882063388824,0.0,1.0
61,29,medium,0.19543665647506714,2,0.15988273918628693,0.44721359549995787,0.8
62,27,medium,0.16771037876605988,2,0.13708904385566711,0.0,1.0
63,26,medium,0.25064727663993835,8,0.09807085990905762,3.0,0.4
64,25,medium,0.2483147382736206,2,0.13327915966510773,0.5477225575051661,0.6
65,24,medium,0.2804287374019623,2,0.1259113997220993,0.0,1.0
66,23,few,0.2349700927734375,2,0.10838908702135086,0.0,1.0
67,22,few,0.2584626078605652,2,0.11770005524158478,0.0,1.0
68,21,few,0.16874079406261444,2,0.2261340320110321,0.0,1.0
69,20,few,0.22454790771007538,2,0.13696643710136414,1.6733200530681511,0.4
70,19,few,0.2143377810716629,2,0.22197121381759644,0.0,1.0
71,18,few,0.11483024060726166,2,0.24815633893013,0.5477225575051661,0.6
72,17,few,0.3065544068813324,7,0.11620668321847916,2.701851217221259,0.4
73,16,few,0.21374884247779846,2,0.21715214848518372,1.7888543819998317,0.8
74,15,few,0.28768664598464966,2,0.14350715279579163,0.4472135954999579,0.8
75,15,few,0.194871187210083,2,0.12807363271713257,0.0,1.0
76,14,few,0.23699001967906952,2,0.18101975321769714,0.0,1.0
77,13,few,0.25423234701156616,2,0.114065021276474,0.5477225575051661,0.6
78,13,few,0.28058376908302307,4,0.14531132578849792,1.0,0.4
79,12,few,0.23549334704875946,4,0.16251085698604584,0.8366600265340756,0.4
80,12,few,0.19125671684741974,3,0.10883378982543945,2.04939015319192,0.4
81,11,few,0.2058587223291397,1,nan,nan,nan
82,11,few,0.19987283647060394,1,nan,nan,nan
83,10,few,0.1548582762479782,1,nan,nan,nan
84,10,few,0.23230142891407013,1,nan,nan,nan
85,9,few,0.18990139663219452,1,nan,nan,nan
86,9,few,0.22569192945957184,1,nan,nan,nan
87,8,few,0.14401322603225708,1,nan,nan,nan
88,8,few,0.1297275424003601,1,nan,nan,nan
89,7,few,0.1967308521270752,1,nan,nan,nan
90,7,few,0.23277707397937775,1,nan,nan,nan
91,7,few,0.20339210331439972,1,nan,nan,nan
92,6,few,0.24610529839992523,1,nan,nan,nan
93,6,few,0.24438518285751343,1,nan,nan,nan
94,6,few,0.11609092354774475,1,nan,nan,nan
95,6,few,0.19610494375228882,1,nan,nan,nan
96,5,few,0.13821056485176086,1,nan,nan,nan
97,5,few,0.21848908066749573,1,nan,nan,nan
98,5,few,0.21273770928382874,1,nan,nan,nan
99,5,few,0.16941949725151062,1,nan,nan,nan
