"method","IF","seed","budget","run_name","status","prototypes","k_distribution","best_epoch","val","many","medium","few"
"CE","100","1","N/A","ce_e50","ok","N/A","N/A","50","33.76","62.57575757575758","32.60606060606061","6.911764705882353"
"Fixed K2","100","1","200","fixed_k2_t01_tau025_e50","ok","200","K=2:100","50","30.71","61.06060606060606","28.242424242424242","3.6470588235294117"
"Fixed K3","100","1","300","fixed_k3_t01_tau025_e50","ok","300","K=3:100","50","32.13","62.39393939393939","30.21212121212121","4.617647058823529"
"Fixed K4","100","1","400","fixed_k4_t01_tau025_e50","ok","400","K=4:100","46","32.93","63.72727272727273","31.575757575757574","4.352941176470588"
"Sqrt B200","100","1","200","adaptive_sqrt_budget200_e50","ok","200","K=1:27 K=2:48 K=3:23 K=4:2","48","33.6","63.72727272727273","31.78787878787879","6.117647058823529"
"Sqrt B250","100","1","250","adaptive_sqrt_budget250_e50","ok","250","K=1:13 K=2:47 K=3:21 K=4:15 K=5:4","50","32.63","63.21212121212121","29.757575757575758","5.735294117647059"
"Sqrt B300","100","1","300","adaptive_sqrt_budget300_e50","ok","300","K=1:4 K=2:44 K=3:22 K=4:14 K=5:10 K=6:6","50","32.63","62.63636363636363","30.939393939393938","5.147058823529412"
"Sqrt B350","100","1","350","adaptive_sqrt_budget350_e50","ok","350","K=2:38 K=3:22 K=4:14 K=5:11 K=6:8 K=7:7","49","32.45","63.54545454545455","29.666666666666668","4.970588235294118"
"Linear B300","100","1","300","adaptive_linear_budget300_e50","ok","300","K=1:33 K=2:26 K=3:11 K=4:7 K=5:6 K=6:4 K=7:4 K=8:9","47","33.03","63.03030303030303","31.666666666666668","5.235294117647059"
