class_id,sample_count,group,intra_variance,estimated_k,best_silhouette,bootstrap_k_std,bootstrap_mode_fraction
0,500,many,0.18288980424404144,2,0.15318070352077484,0.0,1.0
1,480,many,0.23441241681575775,2,0.08664172142744064,0.0,1.0
2,462,many,0.25342532992362976,2,0.11420521885156631,0.0,1.0
3,444,many,0.2714037299156189,2,0.12270898371934891,0.0,1.0
4,426,many,0.25482428073883057,2,0.08632122725248337,0.0,1.0
5,410,many,0.21843010187149048,2,0.11701996624469757,0.0,1.0
6,394,many,0.2354409098625183,2,0.10221821814775467,0.0,1.0
7,379,many,0.26683181524276733,2,0.12455703318119049,0.8944271909999159,0.6
8,364,many,0.23336967825889587,2,0.12621425092220306,0.8944271909999159,0.8
9,350,many,0.24186107516288757,2,0.10601644963026047,0.8366600265340756,0.4
10,336,many,0.27705463767051697,2,0.08120056241750717,0.8366600265340756,0.4
11,323,many,0.23985140025615692,2,0.09084620326757431,0.5477225575051661,0.6
12,311,many,0.23892101645469666,2,0.15196336805820465,0.0,1.0
13,299,many,0.19409120082855225,3,0.09023073315620422,0.0,1.0
14,287,many,0.2639405131340027,2,0.12173096090555191,0.0,1.0
15,276,many,0.2554185092449188,2,0.079671211540699,0.0,1.0
16,265,many,0.25242626667022705,2,0.11976318061351776,0.0,1.0
17,255,many,0.1992924064397812,2,0.08793867379426956,0.4472135954999579,0.8
18,245,many,0.29304057359695435,2,0.1334296613931656,0.0,1.0
19,235,many,0.2552345395088196,2,0.08443963527679443,0.0,1.0
20,226,many,0.20413947105407715,2,0.10495467483997345,0.0,1.0
21,218,many,0.19897793233394623,2,0.10874371230602264,0.0,1.0
22,209,many,0.25642555952072144,2,0.1369672417640686,0.0,1.0
23,201,many,0.1920875757932663,2,0.0943559855222702,0.4472135954999579,0.8
24,193,many,0.19758270680904388,2,0.11363892257213593,0.0,1.0
25,186,many,0.26212090253829956,2,0.09962748736143112,0.8944271909999159,0.6
26,178,many,0.2948022186756134,2,0.09457751363515854,0.0,1.0
27,172,many,0.24725976586341858,3,0.07071483135223389,1.6733200530681511,0.4
28,165,many,0.22169332206249237,2,0.1084892749786377,0.5477225575051661,0.6
29,158,many,0.26420584321022034,3,0.12399625033140182,0.8366600265340756,0.4
30,152,many,0.20633810758590698,2,0.12689106166362762,0.0,1.0
31,146,many,0.21845616400241852,2,0.09084071964025497,0.0,1.0
32,141,many,0.30903732776641846,2,0.17698340117931366,0.0,1.0
33,135,medium,0.2657528221607208,2,0.18168476223945618,0.0,1.0
34,130,medium,0.2216378152370453,2,0.10829881578683853,0.0,1.0
35,125,medium,0.23785601556301117,2,0.09139113873243332,0.0,1.0
36,120,medium,0.23316402733325958,2,0.08256765455007553,0.0,1.0
37,115,medium,0.21375694870948792,2,0.08810463547706604,0.0,1.0
38,111,medium,0.23959976434707642,2,0.09568765014410019,0.0,1.0
39,107,medium,0.283928781747818,2,0.17138522863388062,0.0,1.0
40,102,medium,0.27039363980293274,2,0.1318119764328003,0.0,1.0
41,98,medium,0.2236599624156952,2,0.26290246844291687,0.0,1.0
42,95,medium,0.23641204833984375,2,0.0895661935210228,1.7888543819998322,0.8
43,91,medium,0.1921376883983612,2,0.07747803628444672,0.0,1.0
44,87,medium,0.287418931722641,2,0.0724123939871788,0.0,1.0
