group,num_classes,sample_count_mean,sample_count_std,intra_variance_mean,intra_variance_std,estimated_k_mean,estimated_k_std,best_silhouette_mean,best_silhouette_std,bootstrap_k_std_mean,bootstrap_k_std_std,bootstrap_mode_fraction_mean,bootstrap_mode_fraction_std
many,33,261.06060606060606,115.5110761447629,0.22090703519907864,0.030526913953383403,2.090909090909091,0.38435305739290365,0.11168956914634416,0.02345622178160449,0.16125410298546577,0.4789932401311122,0.9636363636363635,0.10552897060221728
medium,33,55.78787878787879,24.858043939233198,0.2132610154874397,0.039426273157269216,2.727272727272727,1.6634438537400216,0.13209737679271988,0.044867528318145354,0.48772072386581233,0.8187307316795627,0.8666666666666667,0.1914854215512676
few,34,11.5,5.4564390652445915,0.2080580969067181,0.04681537873122166,1.7352941176470589,1.2384942844808056,0.15839983522891998,0.04840175241900964,0.7728489695017019,0.8880382494618752,0.7200000000000001,0.2704493615131253
