"method","IF","seed","budget","role","run_name","status","prototypes","k_distribution","best_epoch","val","many","medium","few"
"CE","100","1","N/A","main","ce_e50","ok","N/A","N/A","50","33.76","62.57575757575758","32.60606060606061","6.911764705882353"
"Balanced Softmax","100","1","N/A","main","balanced_softmax_if100_e50","ok","N/A","N/A","47","39.39","52.484848484848484","39.878787878787875","26.205882352941178"
"LDAM-DRW","100","1","N/A","main","ldam_drw_if100_e50_s1","ok","N/A","N/A","47","39.05","55.27272727272727","42.42424242424242","20.029411764705884"
"Fixed K4","100","1","400","main","fixed_k4_t01_tau025_e50","ok","400","K=4:100","46","32.93","63.72727272727273","31.575757575757574","4.352941176470588"
"Sqrt B200","100","1","200","main","adaptive_sqrt_budget200_e50","ok","200","K=1:27 K=2:48 K=3:23 K=4:2","48","33.6","63.72727272727273","31.78787878787879","6.117647058823529"
"Sqrt B200 + BS","100","1","200","compatibility","adaptive_sqrt_budget200_if100_e50_bs","ok","200","K=1:27 K=2:48 K=3:23 K=4:2","50","36.83","53.57575757575758","36.15151515151515","21.235294117647058"
"Sqrt B200 + LDAM","100","1","200","compatibility","adaptive_sqrt_budget200_if100_e50_ldam_s1","ok","200","K=1:27 K=2:48 K=3:23 K=4:2","48","38.98","53.303030303030305","41.03030303030303","23.08823529411765"
