"method","IF","seed","budget","role","run_name","status","prototypes","k_distribution","best_epoch","val","many","medium","few"
"CE","50","1","N/A","main","ce_if50_e50","ok","N/A","N/A","49","37.6","62.54545454545455","37.78787878787879","13.205882352941176"
"Balanced Softmax","50","1","N/A","main","balanced_softmax_if50_e50","ok","N/A","N/A","49","45.38","56.90909090909091","45.878787878787875","33.705882352941174"
"LDAM-DRW","50","1","N/A","main","ldam_drw_if50_e50_s1","ok","N/A","N/A","49","43.71","57.72727272727273","46.0","27.88235294117647"
"Fixed K3","50","1","300","main","fixed_k3_if50_e50","ok","300","K=3:100","49","36.28","63.666666666666664","36.484848484848484","9.5"
"Fixed K4","50","1","400","main","fixed_k4_if50_e50","ok","400","K=4:100","50","35.53","63.333333333333336","35.96969696969697","8.117647058823529"
"Sqrt B300","50","1","300","main","adaptive_sqrt_budget300_if50_e50","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","47","38.94","66.45454545454545","40.36363636363637","10.852941176470589"
"Sqrt B300 + BS","50","1","300","compatibility","adaptive_sqrt_budget300_if50_e50_bs","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","47","42.06","56.03030303030303","43.333333333333336","27.264705882352942"
"Sqrt B300 + LDAM","50","1","300","compatibility","adaptive_sqrt_budget300_if50_e50_ldam_s1","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","50","43.96","54.18181818181818","46.93939393939394","31.147058823529413"
