"method","IF","seed","budget","run_name","status","prototypes","k_distribution","best_epoch","val","many","medium","few"
"CE","50","1","N/A","ce_if50_e50","ok","N/A","N/A","49","37.6","62.54545454545455","37.78787878787879","13.205882352941176"
"Fixed K2","50","1","200","fixed_k2_if50_e50","ok","200","K=2:100","46","36.18","63.878787878787875","35.84848484848485","9.617647058823529"
"Fixed K3","50","1","300","fixed_k3_if50_e50","ok","300","K=3:100","49","36.28","63.666666666666664","36.484848484848484","9.5"
"Fixed K4","50","1","400","fixed_k4_if50_e50","ok","400","K=4:100","50","35.53","63.333333333333336","35.96969696969697","8.117647058823529"
"Sqrt B200","50","1","200","adaptive_sqrt_budget200_if50_e50","ok","200","K=1:22 K=2:56 K=3:22","49","37.49","64.63636363636364","38.21212121212121","10.441176470588236"
"Sqrt B250","50","1","250","adaptive_sqrt_budget250_if50_e50","ok","250","K=1:7 K=2:52 K=3:25 K=4:16","47","37.24","64.21212121212122","37.93939393939394","10.382352941176471"
"Sqrt B300","50","1","300","adaptive_sqrt_budget300_if50_e50","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","47","38.94","66.45454545454545","40.36363636363637","10.852941176470589"
"Sqrt B350","50","1","350","adaptive_sqrt_budget350_if50_e50","ok","350","K=2:32 K=3:26 K=4:17 K=5:12 K=6:11 K=7:2","50","39.02","67.18181818181819","38.878787878787875","11.823529411764707"
